material_id,formula,tc,cif_path
mp-978986,Ge2Pd2Sr1,2.892,data\structures\3DSC_CIFs\MP\mp-978986.cif
mp-1883,Sn1Te1,0.1096363636363636,data\structures\3DSC_CIFs\MP\mp-1883.cif
mp-2597,In3Te4,1.1833333333333331,data\structures\3DSC_CIFs\MP\mp-2597.cif
mp-7275,Ba1Pd0.2Si1.8,2.91,data\structures\3DSC_CIFs\MP\mp-7275.cif
mp-758523,Ag0.438Hg0.562,0.64,data\structures\3DSC_CIFs\MP\mp-758523.cif
mp-1229006,Ag0.5Sn0.5Te1,0.0,data\structures\3DSC_CIFs\MP\mp-1229006.cif
mp-770433,Ag0.55Hg0.45,0.0,data\structures\3DSC_CIFs\MP\mp-770433.cif
mp-9867,Ag0.5Ba1Si1.5,1.21,data\structures\3DSC_CIFs\MP\mp-9867.cif
mp-1217282,Ag0.5Pd0.5Th2,1.2,data\structures\3DSC_CIFs\MP\mp-1217282.cif
mp-985805,Ag0.7Al0.3,0.11,data\structures\3DSC_CIFs\MP\mp-985805.cif
mp-1229011,Ag1Se2Sn1,4.655,data\structures\3DSC_CIFs\MP\mp-1229011.cif
mp-985443,Ag0.7Hg0.3,0.0,data\structures\3DSC_CIFs\MP\mp-985443.cif
mp-864794,Ag0.7Zn0.3,0.0125,data\structures\3DSC_CIFs\MP\mp-864794.cif
mp-30343,Ag3In1,0.0,data\structures\3DSC_CIFs\MP\mp-30343.cif
mp-1184036,Ag0.8Ga0.2,6.5,data\structures\3DSC_CIFs\MP\mp-1184036.cif
mp-12062,Ag1B2,6.7,data\structures\3DSC_CIFs\MP\mp-12062.cif
mp-603,Ag1Be2,0.0,data\structures\3DSC_CIFs\MP\mp-603.cif
mp-510280,Ag1Ce1Sb2,0.0,data\structures\3DSC_CIFs\MP\mp-510280.cif
mp-864635,Ag1Cl2,0.0,data\structures\3DSC_CIFs\MP\mp-864635.cif
mp-19974,Ag1In2,2.35,data\structures\3DSC_CIFs\MP\mp-19974.cif
mp-1948,Ag1La1,1.0733333333333333,data\structures\3DSC_CIFs\MP\mp-1948.cif
mp-20271,Ag1La1Sb2,0.0,data\structures\3DSC_CIFs\MP\mp-20271.cif
mp-2696,Ag1Mg1,0.0,data\structures\3DSC_CIFs\MP\mp-2696.cif
mp-35109,Ag1Mo6S8,7.7,data\structures\3DSC_CIFs\MP\mp-35109.cif
mp-568761,Ag1Te1,0.0,data\structures\3DSC_CIFs\MP\mp-568761.cif
mp-28246,Ag1Te3,2.6,data\structures\3DSC_CIFs\MP\mp-28246.cif
mp-2233,Ag1Th2,2.225,data\structures\3DSC_CIFs\MP\mp-2233.cif
mp-2474,Ag1Y1,0.0,data\structures\3DSC_CIFs\MP\mp-2474.cif
mp-1912,Ag1Zn1,0.0,data\structures\3DSC_CIFs\MP\mp-1912.cif
